APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,SH UNITS PER SITE,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
5050011005,05-117193,LEEWARD APTS. (SITE 7),In-Service,REHAB,"2809 S WEST BLVD  Los Angeles, CA 90016",10,7,CRENSHAW DISTRICT,0,257,FAMILY,No,0,05/02/2005,0,"7,103,994","10,208,936","17,312,930",2006,"HAMPSTEAD PARTNERS, INC.","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117193&LutSiteCD=7),,7/5/2023,-118.34182,34.03071,POINT (-118.34182 34.03071)
5114014020,14-121652,FLORENCE MILLS (SITE 5),In-Service,NEW CONSTRUCTION,"1037 E MARTIN LUTHER KING BLVD  LOS ANGELES, CA 90011",9,5,CENTRAL,0,74,SPECIAL NEEDS,Yes,0,12/17/2018,"9,389,115.63","36,081,992",0,"45,471,107.63",2021,Hollywood Community Housing Corporation,BARKER MANAGEMENT INCORPORATED,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),226,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121652&LutSiteCD=5),C-129358,7/5/2023,-118.25748,34.01115,POINT (-118.25748 34.01115)
4012018025,60013,MORGAN PLACE SENIOR APTS.,In-Service,NEW CONSTRUCTION,"7305 S CRENSHAW BLVD  Los Angeles, CA 90043",8,1,HYDE PARK,55,55,SENIORS,No,0,04/02/2007,"5,281,147","8,428,737",0,"13,709,884",2009,Abode Communities previously known as LA COMMUNITY DESIGN CENTER,ABODE COMMUNITIES,(213) 225-2772,click here (http://hcidapp.lacity.org/mpphotos/060013/Photo/Website/CD%208%20-%20Morgan%20Place%20Sr.%20Apts..jpg),110,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060013&LutSiteCD=1),C-111486,7/5/2023,-118.33108,33.97348,POINT (-118.33108 33.97348)
5153030026,50036,WITMER HEIGHTS,In-Service,N/A,"116 S WITMER ST  Los Angeles, CA 90026",13,1,TEMPLE-BEAUDRY,49,49,FAMILY,No,0,01/19/2006,"2,846,000","10,865,989",0,"13,711,989",2008,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 482-9122,click here (http://hcidapp.lacity.org/mpphotos/050036/Photo/Website/CD%2013%20-%20Witmer%20Heights.jpg),95,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=050036&LutSiteCD=1),C-109452,7/5/2023,-118.26086,34.06173,POINT (-118.26086 34.06173)
5127029049,18-125459,LA PRENSA LIBRE- 9% (FKA WASHINGTON/ LA),Development,NEW CONSTRUCTION,"200 E WASHINGTON BLVD  Los Angeles, CA 90015",9,1,UNIVERSITY PARK,42,42,FAMILY,No,0,11/12/2020,"1,651,192","29,619,133",0,"31,270,325",Development,Coalition for Responsible Community Development (CRCD),"FPI MANAGEMENT, INC.",(916) 357-5312 x434,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125459&LutSiteCD=1),C-137346,7/5/2023,-118.26339,34.03028,POINT (-118.26339 34.03028)
5037025018,14-121612,KING 1101,In-Service,NEW CONSTRUCTION,"1107 W MARTIN LUTHER KING BLVD  Los Angeles, CA 90037",8,1,EXPOSITION PARK,26,26,SPECIAL NEEDS,Yes,25,07/20/2016,"4,130,000","12,303,276",0,"16,433,276",2018,"Clifford Beers Housing, Inc.","LEVINE MANAGEMENT GROUP, INC",(310) 358-3489,click here (http://hcidapp.lacity.org/mpphotos/14-121612/Photo/Website/King%201101%20Apts..jpg),85,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121612&LutSiteCD=1),C-127889,7/5/2023,-118.29449,34.01106,POINT (-118.29449 34.01106)
5119011019,13-120909,ROBERTA STEPHENS VILLAS I & II (RECAP) (SITE 2),In-Service,ACQUISITION + REHAB,"1113 E 27TH ST  Los Angeles, CA 90011",9,2,CENTRAL,0,40,SENIORS,No,0,12/22/2014,0,"3,360,040","1,995,093","5,355,133",2016,"CP Preservation Housing, LLC",CONCERNED CITIZENS OF SOUTH CENTRAL LOS ANGELES,(323) 846-2500,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),32,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=13-120909&LutSiteCD=2),C-83407,7/5/2023,-118.25507,34.01788,POINT (-118.25507 34.01788)
5110025032,10-117556,SUNRISE APARTMENTS,In-Service,NEW CONSTRUCTION,"5125 S MAIN ST 1-46  Los Angeles, CA 90037",9,1,SOUTH PARK,46,46,SENIORS,No,0,11/29/2010,"2,202,568","11,040,406",0,"13,242,974",2012,"AMCAL Multi-Housing, Inc(App)",THE JOHN STEWART COMPANY,(213) 787-2710,click here (http://hcidapp.lacity.org/mpphotos/10-117556/Photo/Website/10-117556.JPG),91,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117556&LutSiteCD=1),C-118282,7/5/2023,-118.27429,33.99607,POINT (-118.27429 33.99607)
6022022011,19-125950,FLORENCE TOWNE (FKA 410 E. FLORENCE AVENUE),In-Service,N/A,"410 E FLORENCE AVE  Los Angeles, CA 90003",9,1,FLORENCE-FIRESTONE,51,51,N/A,Yes,50,03/13/2020,"7,000,000","8,804,956",0,"15,804,956",2022,"Unique Construction & Development, Inc.","LEVINE MANAGEMENT GROUP, INC.",(310) 595-0403,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),310,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125950&LutSiteCD=1),C-135033,7/5/2023,-118.26696,33.97456,POINT (-118.26696 33.97456)
5147024024,18-125043,WEINGART TOWER A-134 (FKAWEINGART TOWER HHH PSH1A),Development,NEW CONSTRUCTION,"555 S CROCKER ST  LOS ANGELES, CA 90013",14,1,WHOLESALE DISTRICT,134,134,SPECIAL NEEDS,Yes,133,09/02/2021,"16,000,000","31,268,028","33,981,980","81,250,008",Development,Chelsea Investment Corporation,"CIC MANAGEMENT, INC. (ASSET MANAGEMENT)",(760) 456-6000,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),703,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125043&LutSiteCD=1),"C-138869,C-138871",7/5/2023,-118.244,34.04229,POINT (-118.244 34.04229)
